,Date,Price Per Barell,Exrates,PMS,AGO,Kero,Average
0,2010-01-14,89.15,80.56800455,94.03,87.45,75.83,85.77
1,2011-01-14,89.17,81.02907143,95.67,88.71,77.51,87.29666666666667
2,2011-02-14,88.58,81.4734,98.08,91.72,79.52,89.77333333333333
3,2011-03-14,102.86,84.20550870000001,102.44,94.53,83.97,93.64666666666666
4,2011-04-14,109.53,83.88981579,111.17,107.52,90.91,103.2
5,2011-05-14,100.9,85.43300952,115.35,108.02,92.61,105.32666666666667
6,2011-06-14,96.26,89.04928095,114.93,106.3,85.71,102.31333333333333
7,2011-07-14,97.3,89.89773333,115.39,106.12,86.16,102.55666666666666
8,2011-08-14,86.33,92.78595909,117.22,108.97,88.96,105.05
9,2011-09-14,85.52,96.35726364,117.75,108.77,88.29,104.93666666666667
10,2011-10-14,86.32,101.26979,120.5,110.94,89.95,107.13
11,2011-11-14,97.16,93.67556364,124.13,114.3,94.87,111.10000000000001
12,2011-12-14,98.56,86.66284499999999,119.06,110.98,90.74,106.92666666666668
13,2012-01-14,100.27,86.34256667,111.95,107.9,87.11,102.32000000000001
14,2012-02-14,102.2,83.17611429,111.32,105.29,83.74,100.11666666666667
15,2012-03-14,106.16,83.0009875,111.69,105.12,84.13,100.31333333333333
16,2012-04-14,103.32,83.18778947,118.5,108.8,86.28,104.52666666666669
17,2012-05-14,94.66,84.46184545,121.43,108.44,87.0,105.62333333333333
18,2012-06-14,82.3,84.78874,117.67,105.51,83.2,102.12666666666667
19,2012-07-14,87.9,84.14471818,108.46,97.51,74.4,93.45666666666666
20,2012-08-14,94.13,84.07544545,106.48,97.08,73.97,92.50999999999999
21,2012-09-14,94.51,84.6133,108.95,101.07,79.65,96.55666666666666
22,2012-10-14,89.49,85.1116087,115.26,106.11,86.01,102.46
23,2012-11-14,86.53,85.62856818,113.68,105.85,84.57,101.36666666666667
24,2012-12-14,87.86,85.99398889,112.61,105.79,86.44,101.61333333333334
